timestamp,ip,label,status,response_time_ms
2025-10-17 01:17:06,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:17:06,10.59.249.199,My Laptop,online,0.51
2025-10-17 01:21:34,8.8.8.8,Google DNS,online,58.65
2025-10-17 01:21:34,1.1.1.1,Cloudflare DNS,online,61.15
2025-10-17 01:21:36,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:21:36,10.59.249.199,My Laptop,online,0.44
2025-10-17 01:21:43,8.8.8.8,Google DNS,online,57.53
2025-10-17 01:21:43,1.1.1.1,Cloudflare DNS,online,71.95
2025-10-17 01:21:45,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:21:45,10.59.249.199,My Laptop,online,0.36
2025-10-17 01:26:37,8.8.8.8,Google DNS,online,61.26
2025-10-17 01:26:37,1.1.1.1,Cloudflare DNS,online,69.17
2025-10-17 01:26:39,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:26:39,10.59.249.199,My Laptop,online,0.66
2025-10-17 01:27:09,8.8.8.8,Google DNS,online,61.93
2025-10-17 01:27:09,1.1.1.1,Cloudflare DNS,online,52.46
2025-10-17 01:27:11,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:27:11,10.59.249.199,My Laptop,online,0.44
2025-10-17 01:27:41,8.8.8.8,Google DNS,online,91.94
2025-10-17 01:27:41,1.1.1.1,Cloudflare DNS,online,75.98
2025-10-17 01:27:43,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:27:43,10.59.249.199,My Laptop,online,0.45
2025-10-17 01:28:27,8.8.8.8,Google DNS,online,84.09
2025-10-17 01:28:27,1.1.1.1,Cloudflare DNS,online,72.18
2025-10-17 01:28:29,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:28:29,10.59.249.199,My Laptop,online,0.47
2025-10-17 01:28:59,8.8.8.8,Google DNS,online,104.72
2025-10-17 01:28:59,1.1.1.1,Cloudflare DNS,online,42.37
2025-10-17 01:29:01,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:29:01,10.59.249.199,My Laptop,online,0.82
2025-10-17 01:29:32,8.8.8.8,Google DNS,online,51.85
